0,Model_0,Model_1,Model_2,Average
GO:0071042,0.0,0.0,0.0,0.0
GO:0019835,0.0,0.0017691805386066835,0.0,0.0005897268462022278
GO:0004111,0.00029551741078834114,0.0,0.0,9.850580359611372e-05
GO:0036088,0.0,0.0,0.0,0.0
GO:0061575,0.0004333034555234453,0.0,0.0,0.00014443448517448176
GO:0050515,0.0,0.0,0.0,0.0
GO:0097344,0.0,0.0,0.0,0.0
GO:0010833,0.0,0.0,0.0,0.0
GO:0003714,0.0011933202216153885,0.0,0.0013565268439959216,0.0008499490218704366
GO:0070475,0.0,0.0,0.0,0.0
GO:0017053,0.0,0.0,0.0,0.0
GO:2001168,0.0,0.0,0.0,0.0
GO:0005527,0.0,0.0,0.0,0.0
GO:0000386,0.0,0.0,0.0,0.0
GO:0045332,9.48618694201442e-05,0.0,0.0,3.1620623140048065e-05
GO:0008755,0.0,0.0,0.0,0.0
GO:0010285,0.0,0.0016470181376388073,0.0,0.0005490060458796024
GO:0102571,0.0008092869678460595,0.0,0.0,0.00026976232261535316
GO:0070726,0.0,0.0,0.0,0.0
GO:0033384,0.0,0.0,0.0,0.0
GO:0031499,0.0,0.0,0.0,0.0
GO:0098706,0.0,0.0,0.0,0.0
GO:0005227,0.0,0.0,0.0,0.0
GO:0001778,0.0,0.0,0.0,0.0
GO:0097745,0.0,0.0,0.0,0.0
GO:0008310,0.0,0.0,0.0,0.0
GO:0043934,0.003309497861223128,0.0001794388860208928,0.0,0.001162978915748007
GO:0008893,0.0002299280252236048,0.0,0.0,7.664267507453493e-05
GO:0009166,0.00010766991623264274,0.0007207590957565579,0.0,0.00027614300399640023
GO:0047826,0.0,0.0,0.0,0.0
GO:0140268,0.0,0.0,0.0,0.0
GO:0031120,0.0,0.0,0.0,0.0
GO:0034472,0.0,0.0,0.0,0.0
GO:0047371,0.0006776180904200648,0.0,0.0,0.00022587269680668829
GO:0099500,0.0,0.0,0.0,0.0
GO:0046386,0.0,0.0,0.0,0.0
GO:0030729,0.0,0.0,0.0,0.0
GO:0007096,0.0,0.0,0.0,0.0
GO:0065003,0.0,0.0,0.0017886181178253832,0.0005962060392751277
GO:0006212,0.0006599665634962729,0.0,0.0,0.00021998885449875762
GO:0031110,0.0,0.0,0.0,0.0
GO:0008446,0.0004278980345849505,0.0,0.0,0.0001426326781949835
GO:0006311,0.0,0.0,0.0,0.0
GO:1990726,0.0,0.0,0.0,0.0
GO:0004788,0.0003218091250301564,0.0,0.0,0.00010726970834338547
GO:0034069,1.093498102620197e-05,0.0,0.0,3.644993675400657e-06
GO:0004489,0.0,0.0,0.0,0.0
GO:0035539,0.00045188046199770793,0.0,0.0,0.00015062682066590264
GO:0010288,0.0,0.0,0.0,0.0
GO:0033999,0.00044055820526408716,0.0,0.0,0.00014685273508802904
GO:0033540,0.0,0.0,0.0,0.0
GO:0000700,0.0,0.0,0.0,0.0
GO:0031235,0.00069042514765571,0.0,0.0,0.00023014171588523665
GO:0051315,0.0,0.0,0.0,0.0
GO:0052592,0.0,0.0,0.0,0.0
GO:0015297,0.0,0.0,0.0,0.0
GO:0031207,0.0,0.0,0.0,0.0
GO:0006369,0.0,0.0,0.0,0.0
GO:0140078,8.79156010230185e-05,0.0,0.0,2.930520034100617e-05
GO:0006527,0.0,0.0,0.0,0.0
GO:0050454,0.0,0.0,0.0,0.0
GO:0009254,3.0070925870777885e-05,0.0,0.0,1.0023641956925962e-05
GO:1904462,0.0,0.0,0.0,0.0
GO:0046306,0.000778544273392231,0.0,0.0,0.00025951475779741035
GO:0018667,0.0,0.0,0.0,0.0
GO:2001225,0.0,0.0,0.0,0.0
GO:0071039,0.0,0.0,0.0,0.0
GO:0071264,1.2348960677385447e-19,0.0,0.0,4.116320225795149e-20
GO:1903473,0.0,0.0,0.0,0.0
GO:0071475,0.0,0.0,0.0,0.0
GO:1901525,0.0,0.0,0.0,0.0
GO:0042958,0.0,0.001730058971024323,0.0,0.0005766863236747743
GO:0000812,0.0,0.0,0.0,0.0
GO:0006048,0.0,0.0,0.0,0.0
GO:0006626,0.0,0.0,0.0,0.0
GO:0034737,0.0,0.0,0.0,0.0
GO:0004536,0.0,0.0,0.0,0.0
GO:0030837,0.0,0.0,0.0,0.0
GO:0005776,0.0,0.0,0.0,0.0
GO:0008694,0.0,0.0,0.0,0.0
GO:0018393,0.0,0.0,0.0,0.0
GO:0031990,3.4330954523477615e-19,0.0,0.0,1.144365150782587e-19
GO:0003934,0.0,0.0,0.0,0.0
GO:0030287,0.0,0.0,0.0,0.0
GO:0047471,0.0,0.0,0.0,0.0
GO:0047349,0.0008242874352384247,0.0,0.002086394085983586,0.0009702271737406701
GO:0101006,0.0,0.0,0.0,0.0
GO:0015667,0.001266896086255569,0.0,0.005942083750653416,0.002402993278969662
GO:0071578,0.0,0.0,0.0,0.0
GO:0032012,0.0,0.0,0.0,0.0
GO:0003844,0.0,0.0,0.0,0.0
GO:0047151,0.0,0.0,0.0,0.0
GO:0090144,0.0,0.0,0.0,0.0
GO:0008419,0.0,0.0,0.0,0.0
GO:0008715,0.00024758423221894917,0.0,0.0,8.252807740631639e-05
GO:0010314,0.0,0.0,0.0,0.0
GO:0070056,0.0,0.0,0.0,0.0
GO:0032574,0.0,0.0,0.0,0.0
GO:0033734,0.0,0.0,0.0,0.0
GO:0046140,0.0011486309822816758,0.0,0.0,0.00038287699409389193
GO:2001023,0.0,0.0,0.0,0.0
GO:0031490,0.0,0.0,0.0,0.0
GO:0032452,0.0,0.0,0.0,0.0
GO:0000177,0.00025324758474776395,0.0,0.0,8.441586158258799e-05
GO:0033859,0.0,0.0,0.0,0.0
GO:0047693,0.000224630949870729,0.0,0.0,7.4876983290243e-05
GO:0017018,0.00043330278946758955,0.0,0.0,0.00014443426315586318
GO:0071819,0.0,0.0,0.0,0.0
GO:0034462,0.0,0.0,0.0,0.0
GO:0043906,0.0,0.0,0.0,0.0
GO:0033677,0.0,0.0,0.0,0.0
GO:0046557,9.263963484459922e-05,0.0,0.0,3.087987828153307e-05
GO:0070981,0.0,0.0,0.0,0.0
GO:0015836,0.00013680551066200746,0.0,0.0,4.560183688733582e-05
GO:0043008,0.0,0.0,0.0,0.0
GO:0032055,0.0,0.0,0.0,0.0
GO:0044238,0.0,0.0,0.0,0.0
GO:1902657,0.0,0.0,0.0,0.0
GO:0000993,0.0,0.0,0.0,0.0
GO:0042393,0.0,0.0,0.0,0.0
GO:0034040,0.00021185955639566753,0.0,0.0,7.061985213188918e-05
GO:0000126,0.0,0.0,0.0,0.0
GO:0046942,0.00044564906121445104,0.0020411298537650726,0.0,0.0008289263049931746
GO:0071595,0.0,0.0,0.0,0.0
GO:0009152,0.0,0.0,0.0,0.0
GO:0010971,0.0,0.0,0.0,0.0
GO:0009036,0.0,0.0,0.0,0.0
GO:0004030,0.0003430077402637675,0.0,0.0,0.00011433591342125582
GO:0008610,0.0007716952436328714,0.0,0.0023176402208660205,0.0010297784881662974
GO:0004494,0.00042106236633967766,0.0,0.0,0.0001403541221132259
GO:0015091,0.0,0.0,0.0,0.0
GO:0015213,0.0,0.0,9.307443207929126e-05,3.1024810693097085e-05
GO:0003998,0.0005691884466224336,0.0,0.0,0.00018972948220747786
GO:1905261,0.0,0.0,0.0,0.0
GO:0046481,0.0,0.0,0.0,0.0
GO:0099616,0.0,0.0,0.0,0.0
GO:0071001,8.97684824562459e-05,0.0,0.0,2.99228274854153e-05
GO:0019867,0.0005959529217735733,0.0,0.0,0.00019865097392452445
GO:0051031,0.0,0.0,0.0,0.0
GO:0050105,0.0,0.0,0.0,0.0
GO:0016482,0.0,0.0,0.0,0.0
GO:0030114,0.0,0.0,0.0,0.0
GO:0006452,0.0,0.0,0.0,0.0
GO:0044780,0.0,0.0,0.0,0.0
GO:0004407,0.00013605442176870764,0.0,0.0,4.535147392290255e-05
GO:0004753,0.0,0.0,0.0,0.0
GO:0042030,0.0,0.0,0.0,0.0
GO:0007009,0.0,0.0,0.0,0.0
GO:0004163,0.0001914348024714143,0.0,0.0012934264440936805,0.0004949537488550316
GO:0042773,0.0,0.0,0.0,0.0
GO:0005826,0.0,0.0,0.0,0.0
GO:0036402,0.0022244739742345782,0.0,0.0,0.0007414913247448594
GO:0051920,0.0008473184852121374,0.0,0.0,0.00028243949507071245
GO:1902806,0.0,0.0,0.0,0.0
GO:0005462,0.0,0.0,0.0,0.0
GO:1903833,0.0,0.0,0.0,0.0
GO:0032541,0.0,0.0,0.0,0.0
GO:0050558,0.0,0.0,0.0,0.0
GO:0070813,0.0,0.0,0.0,0.0
GO:0000027,0.0,3.685382870369451e-19,0.0,1.2284609567898172e-19
GO:0043824,0.0,0.0,0.0,0.0
GO:0070896,0.0,0.0,0.0,0.0
GO:0043766,0.0,0.0,0.0,0.0
GO:0005846,0.0,0.0,0.0,0.0
GO:0006545,0.0,0.0,0.0,0.0
GO:0006913,0.0,0.0,0.0,0.0
GO:0015190,0.0,0.0,0.0,0.0
GO:0006360,0.0,0.0010423199529279441,0.0,0.0003474399843093147
GO:0030864,0.0,0.0,0.0,0.0
GO:0044804,0.0,0.0,0.0,0.0
GO:0043464,0.0001615322887853556,0.0,0.0,5.3844096261785206e-05
GO:0009072,0.0,0.0,0.0,0.0
GO:0052689,0.0,0.0,0.0037614259829583468,0.0012538086609861156
GO:0005048,6.734006734006744e-05,0.0,0.0,2.2446689113355814e-05
GO:0005773,0.0,0.0,0.0,0.0
GO:0010265,0.0,0.0,0.0,0.0
GO:0016139,9.290403476938133e-05,0.0,0.0,3.096801158979378e-05
GO:0004722,0.0,0.0,0.0041231463818318095,0.0013743821272772698
GO:0044273,0.0,0.0,0.0,0.0
GO:0090282,0.0,0.0,0.0,0.0
GO:0004024,0.0,0.0,0.0,0.0
GO:0045016,0.0,0.0,0.0,0.0
GO:0102028,0.0,0.0,0.0007259073842302875,0.0002419691280767625
GO:1990333,0.0,0.0,0.0,0.0
GO:1903136,0.0,0.0,0.0,0.0
GO:0046174,0.0,0.0,0.0,0.0
GO:0005813,0.0,0.0,0.0,0.0
GO:1990247,0.0,0.0,0.0,0.0
GO:0140679,0.0,0.0,0.0,0.0
GO:0033862,0.0,0.0,0.0,0.0
GO:0043213,0.0,0.0,0.0,0.0
GO:0008693,0.0,0.0,0.0,0.0
GO:0004135,0.0018473589892242235,0.0,0.0,0.0006157863297414078
GO:0005092,0.0,0.0,0.0,0.0
GO:0019538,0.0,0.0,0.0,0.0
GO:0120151,1.573946681856265e-19,0.0,0.0,5.246488939520883e-20
GO:0031941,0.0,0.0,0.0,0.0
GO:0004038,0.0012238264159383234,0.0,0.0,0.0004079421386461078
GO:0070319,0.0,0.0,0.0,0.0
GO:0007120,0.0,0.0,0.0,0.0
GO:0031261,0.0,0.0,0.0,0.0
GO:0062137,0.0,0.0,0.0,0.0
GO:0043570,0.0,0.0,0.0,0.0
GO:0006196,0.00013776214504568354,0.0,0.0,4.5920715015227847e-05
GO:0043461,0.0,0.0,0.0,0.0
GO:0051792,0.0,0.0,0.0,0.0
GO:0033920,9.545945559780247e-05,0.0,0.0,3.1819818532600825e-05
GO:0016731,0.0,0.0,0.0,0.0
GO:0000333,0.0,0.0,0.0,0.0
GO:0002055,8.903002615290507e-05,0.0,0.0,2.967667538430169e-05
GO:0019628,0.0,0.0,0.0,0.0
GO:0097505,0.0,0.0,0.0,0.0
GO:0044211,0.0,0.0,0.0,0.0
GO:0000827,0.0,0.0,0.0,0.0
GO:0051285,0.0,0.0,0.0,0.0
GO:0008275,0.0,0.0,0.0,0.0
GO:0001156,0.0,0.0,0.0,0.0
GO:0047459,0.0,0.0,0.0,0.0
GO:1903241,0.0,0.0,0.0,0.0
GO:0046098,0.0,0.0,0.0,0.0
GO:0090334,0.0,0.0,0.0,0.0
GO:0045732,0.0,0.0,0.0,0.0
GO:0140678,0.0,1.3073615151533289e-18,0.0,4.357871717177763e-19
GO:0030071,0.0,0.0,0.0,0.0
GO:0042989,0.0,0.0,0.0,0.0
GO:0000963,0.0,0.0,0.0,0.0
GO:0097422,0.0,0.0,0.0,0.0
GO:0106141,9.702824091685416e-06,0.0,1.9278744819946933e-18,3.234274697229115e-06
GO:0004471,0.0003245958844531408,0.0,0.0,0.00010819862815104692
GO:0008662,0.0011256337385871617,0.0006965429859512704,0.0,0.0006073922415128107
GO:0030388,0.0002106634665970819,0.0,0.0,7.022115553236064e-05
GO:0016237,0.0,0.0,0.0,0.0
