0,Model_0,Model_1,Model_2,Average
GO:0004252,0.0,0.0,0.0,0.0
GO:0034628,0.0,0.0,0.0,0.0
GO:1904669,0.0,0.0,0.0,0.0
GO:0016297,0.0012346278783487217,0.00030519049164038297,0.0004553970312725171,0.0006650718004205407
GO:0052665,0.0015011100370738962,0.00023749347631839073,0.0011006669201845782,0.000946423477858955
GO:0033699,0.0,0.0,0.0,0.0
GO:0030123,0.0,0.0,0.0,0.0
GO:1901682,0.0,0.0,0.0,0.0
GO:0007062,0.0005444160894397852,0.0,0.0,0.0001814720298132617
GO:1902208,0.0,0.0,0.0,0.0
GO:0000900,0.0,0.0,0.0,0.0
GO:0045002,0.0,0.0,0.0,0.0
GO:0051058,0.0,0.0,0.0,0.0
GO:0009313,0.0,0.0,0.0,0.0
GO:0000210,0.0,0.0,0.0,0.0
GO:0000019,0.0,0.0,0.0,0.0
GO:1904377,0.0,0.0,0.0,0.0
GO:0000277,0.0,0.0,0.0,0.0
GO:0005793,0.0,0.00010960117934105047,0.0,3.653372644701682e-05
GO:0051957,0.0,0.0,0.0,0.0
GO:0070651,0.0,0.0,0.0,0.0
GO:0030490,0.0,0.0,0.0005056668073207837,0.00016855560244026123
GO:1990877,0.0,0.0,0.0,0.0
GO:0052903,0.0,0.0,0.0,0.0
GO:1900233,0.0,0.0,0.0,0.0
GO:0030788,0.0,0.0,0.00037673181728643996,0.00012557727242881332
GO:0032585,0.0,0.0,0.0,0.0
GO:0019404,0.0,0.0,0.0,0.0
GO:0000393,0.0,0.0,0.0,0.0
GO:0006998,0.0,0.0,0.0,0.0
GO:0016920,0.0,0.0,0.0,0.0
GO:0036055,0.0014951801868604477,0.0,0.0,0.0004983933956201492
GO:0031333,0.0,5.044296305972441e-19,0.0,1.6814321019908137e-19
GO:0160013,0.0,0.0,0.0,0.0
GO:0044804,0.0,0.0,0.0,0.0
GO:0000480,0.0,0.0,0.0,0.0
GO:0047443,0.0007444216633787616,0.00019846265129497796,0.0,0.0003142947715579132
GO:0003973,0.0,1.2326714835675025e-05,0.0,4.108904945225009e-06
GO:0006896,0.0,0.0,0.0,0.0
GO:0032014,0.0,0.0,0.0,0.0
GO:0070395,0.0,0.0,0.0,0.0
GO:0004396,0.0,8.207070707070707e-05,0.0,2.7356902356902358e-05
GO:0043773,0.0,0.0,0.0,0.0
GO:0000123,0.0,0.0,0.0,0.0
GO:0050129,0.0,0.0,0.0,0.0
GO:0065004,0.0,0.0,0.0,0.0
GO:0008047,0.0,0.0,0.0,0.0
GO:0019239,0.0,0.0001662797536301716,0.000983796296296296,0.00038335868330882254
GO:0017038,0.0,0.0,0.00033836321888694974,0.00011278773962898325
GO:0004813,0.0,0.0,0.00014349489795918542,4.7831632653061805e-05
GO:0017061,0.000506454816285997,6.301340247396269e-06,0.0,0.0001709187188444644
GO:0006826,0.0,0.0,0.0,0.0
GO:0008987,0.0,0.0,0.0,0.0
GO:0006227,0.0,0.0,0.0,0.0
GO:0030688,0.0,0.0,0.0,0.0
GO:1990426,0.0,0.0,0.0,0.0
GO:0070298,0.0,0.0,0.0,0.0
GO:0005881,0.0,0.0,0.0,0.0
GO:0046872,0.0,0.00019668737060041453,0.0,6.556245686680484e-05
GO:0004040,0.0,0.0003381585192216417,0.0,0.00011271950640721391
GO:1904184,0.0,0.0,0.0,0.0
GO:0004401,0.0,0.00025913318834823744,0.0,8.637772944941248e-05
