0,Model_0,Model_1,Average
GO:0005736,0.0,0.0,0.0
GO:0005797,0.0,0.0,0.0
GO:0009070,0.0,0.0,0.0
GO:0016260,0.0077188585932553835,0.001621895985875356,0.00467037728956537
GO:0015648,0.0,0.0,0.0
GO:0033765,0.0,0.0003820134710141126,0.0001910067355070563
GO:0044377,0.0,0.0,0.0
GO:0010828,0.0,0.0,0.0
GO:0004362,0.0,0.0015416028720560409,0.0007708014360280204
GO:1901235,0.0,0.0,0.0
GO:1900063,0.0,0.0,0.0
GO:0044183,0.0,2.1103252357443977e-05,1.0551626178721989e-05
GO:0006002,0.0,0.0,0.0
GO:0042158,0.0,0.0,0.0
GO:0019217,0.0,0.0,0.0
GO:0032150,0.0,3.1350677408761727e-06,1.5675338704380864e-06
GO:0000802,0.0,0.0,0.0
GO:0061736,0.0,0.0,0.0
GO:0004854,0.0,0.0,0.0
GO:0004557,0.0,0.0001930786761518682,9.65393380759341e-05
GO:0015038,0.0,0.0,0.0
GO:0009269,0.0,0.0,0.0
GO:0018548,0.0,0.0,0.0
GO:0034025,0.0,0.0,0.0
GO:0044732,0.0,0.0,0.0
GO:0047453,0.0,0.0,0.0
GO:0051896,0.0,0.0,0.0
GO:0035066,0.0,0.0,0.0
GO:0034979,0.0,7.537219818880794e-05,3.768609909440397e-05
GO:0032233,0.0,0.0,0.0
GO:0001522,0.0,0.0,0.0
GO:0034477,0.0,0.0,0.0
GO:0004049,0.0,8.098715377672111e-05,4.0493576888360555e-05
GO:2000767,0.0,0.0,0.0
GO:0097043,0.0,0.0,0.0
GO:0097157,0.0,0.0,0.0
GO:0000832,0.0,0.0,0.0
GO:0009736,0.0,0.0,0.0
GO:0009328,0.0,0.000195024356177709,9.75121780888545e-05
GO:0005871,0.0,0.0,0.0
GO:0043596,0.0,0.0,0.0
GO:0006563,0.0,0.0,0.0
GO:0032050,0.0,0.0,0.0
GO:0080019,0.0,0.0,0.0
GO:0045144,0.0,0.0,0.0
GO:1990545,0.0,0.0,0.0
GO:0033926,0.0,0.0002701284450288915,0.00013506422251444576
GO:0016847,0.0,0.0,0.0
GO:0006747,0.0,3.818204002011712e-05,1.909102001005856e-05
GO:0070273,0.0,0.0,0.0
GO:0009450,0.0,0.0,0.0
GO:0043412,0.0,0.0004412106713590782,0.0002206053356795391
GO:0080130,0.0,0.0,0.0
GO:0002184,0.0,0.0,0.0
GO:0008923,0.0,0.0,0.0
GO:1900364,0.0,0.0,0.0
GO:0044874,0.0,5.5320092825893495e-19,2.7660046412946748e-19
GO:0004568,0.0,0.0,0.0
GO:0035023,0.0,0.0,0.0
GO:0036286,0.0,0.0,0.0
GO:0033825,0.0,0.0,0.0
GO:0005798,0.0,0.0,0.0
GO:0016891,0.0,4.4331578936062e-19,2.2165789468031e-19
GO:0004438,0.0,0.0,0.0
GO:0098567,0.0,0.0,0.0
GO:0045148,0.002720903790937422,0.0,0.001360451895468711
GO:0019553,0.0,0.0,0.0
GO:0000028,0.0,0.0,0.0
GO:0052739,0.0,0.0006367051207364012,0.0003183525603682006
GO:0045505,0.0,0.0,0.0
GO:0043785,0.0,0.0,0.0
GO:1901907,0.0,0.0,0.0
GO:1902369,0.0,0.0,0.0
GO:0070478,0.0,0.0,0.0
GO:0070041,0.0,0.0,0.0
GO:0045303,0.0,0.0,0.0
GO:0006666,0.0,0.0,0.0
GO:0030288,0.0,0.0002489256306307771,0.00012446281531538854
GO:0006396,0.0,8.601700551933896e-05,4.300850275966948e-05
GO:0004365,0.0,2.4480923710984353e-05,1.2240461855492176e-05
GO:0032194,0.0,0.0003467709977015468,0.0001733854988507734
GO:0009156,0.0,4.1567367656712905e-05,2.0783683828356453e-05
GO:0034486,0.0,0.0,0.0
GO:0070209,0.0,0.0,0.0
GO:2001040,0.0,0.0,0.0
GO:0070816,0.0,0.0,0.0
GO:0034967,0.0,0.0,0.0
GO:0006289,0.0,0.0,0.0
GO:0071042,0.0,0.0,0.0
GO:0019835,0.0,0.0,0.0
GO:0004111,0.0,3.955933727476291e-06,1.9779668637381453e-06
GO:0036088,0.0,0.0,0.0
GO:0061575,0.0,0.0,0.0
GO:0050515,0.0,0.00030359103467737694,0.00015179551733868847
GO:0097344,0.0,0.0,0.0
GO:0010833,0.0,0.0,0.0
GO:0003714,0.0,0.0,0.0
GO:0070475,0.0,0.0,0.0
GO:0017053,0.0,0.0,0.0
GO:2001168,0.0,0.0,0.0
GO:0005527,0.0,0.0,0.0
GO:0000386,0.0,0.0,0.0
GO:0045332,0.0,0.0,0.0
GO:0008755,0.0,0.0,0.0
GO:0010285,0.0,0.0,0.0
GO:0102571,0.0,0.0004210028220570197,0.00021050141102850985
GO:0070726,0.0,0.0,0.0
GO:0033384,0.0,0.0,0.0
GO:0031499,0.0,0.0,0.0
GO:0098706,0.0,0.0,0.0
GO:0005227,0.0,0.0,0.0
GO:0001778,0.0,0.0,0.0
GO:0097745,0.0,0.0,0.0
GO:0008310,0.0,0.0,0.0
GO:0043934,0.0,0.0,0.0
GO:0008893,0.0,0.0,0.0
GO:0009166,0.0,0.0,0.0
GO:0047826,0.0,0.0,0.0
GO:0140268,0.0,0.0,0.0
GO:0031120,0.0,0.0,0.0
GO:0034472,0.0,0.0,0.0
GO:0047371,0.0,0.0002697294961987169,0.00013486474809935845
GO:0099500,0.0,0.0,0.0
GO:0046386,0.0,0.0,0.0
GO:0030729,0.0,0.0,0.0
GO:0007096,0.0,0.0,0.0
GO:0065003,0.0,0.00011103335452404687,5.5516677262023436e-05
GO:0006212,0.0,0.0,0.0
GO:0031110,0.0,0.0,0.0
GO:0008446,0.000762950649831536,0.001206820980872748,0.000984885815352142
GO:0006311,0.0,0.0,0.0
GO:1990726,0.0,0.0,0.0
GO:0004788,0.0,0.00030794593155203945,0.00015397296577601973
GO:0034069,0.0,0.0,0.0
GO:0004489,0.0014994702897607904,0.0,0.0007497351448803952
GO:0035539,0.0,0.0008838682810836276,0.0004419341405418138
GO:0010288,0.0,0.0,0.0
GO:0033999,0.0,0.0,0.0
GO:0033540,0.0,0.0,0.0
GO:0000700,0.0,0.0,0.0
GO:0031235,0.0,0.0,0.0
GO:0051315,0.0,0.0,0.0
GO:0052592,0.0,0.0,0.0
GO:0015297,0.0,0.0,0.0
GO:0031207,0.0,0.0,0.0
GO:0006369,0.0,0.0,0.0
GO:0140078,0.0,0.0,0.0
GO:0006527,0.0,0.0,0.0
GO:0050454,0.0,0.0,0.0
GO:0009254,0.0,0.0,0.0
GO:1904462,0.0,0.0,0.0
GO:0046306,0.0,0.0,0.0
GO:0018667,0.0,0.0,0.0
GO:2001225,0.0,0.0,0.0
GO:0071039,0.0,0.0,0.0
GO:0071264,0.0,0.0,0.0
GO:1903473,0.0,0.0,0.0
GO:0071475,0.0,0.0,0.0
GO:1901525,0.0,0.0,0.0
GO:0042958,0.0,9.48906421882178e-19,4.74453210941089e-19
GO:0000812,0.0,0.0,0.0
GO:0006048,0.0,0.0,0.0
GO:0006626,0.0,0.0,0.0
GO:0034737,0.0,0.0,0.0
GO:0004536,0.0,0.0,0.0
GO:0030837,0.0,0.0,0.0
GO:0005776,0.0,0.0,0.0
GO:0008694,0.0,0.0,0.0
GO:0018393,0.0,0.0,0.0
GO:0031990,0.0,0.0,0.0
GO:0003934,0.0,0.0,0.0
GO:0030287,0.0,0.0,0.0
GO:0047471,0.003181452363615046,0.00010681156201300553,0.0016441319628140258
GO:0047349,0.0036906251865038886,0.0002625427832039405,0.0019765839848539146
GO:0101006,0.0,0.0012208265957392363,0.0006104132978696182
