0,Model_0,Model_1,Model_2,Model_3,Model_4,Average
GO:0031303,0.0,0.0,0.0,0.0,0.0,0.0
GO:0071942,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052596,0.0,0.0,0.0,0.0,0.0,0.0
GO:0106262,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000290,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009236,0.0,0.0,0.0,0.0,0.0003104864267400728,6.209728534801456e-05
GO:0015934,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015846,0.0,0.0005574783223549553,0.0,7.073371328604654e-05,0.0,0.00012564240712820038
GO:0008796,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043041,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030136,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000150,0.0,0.0005987034773807834,2.100225009755044e-19,0.0,0.0,0.00011974069547615672
GO:0030133,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061672,0.0,0.0,9.788494412256589e-19,0.0,0.0,1.9576988824513178e-19
GO:1900051,0.0,0.0,0.0,0.0,0.0,0.0
GO:0103045,0.0,0.0,0.00013195916870196818,0.0,0.0004575587544747643,0.0001179035846353465
GO:0005102,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005615,0.0,0.0,0.0,0.000546042319830607,0.0002959459479836037,0.00016839765356284217
GO:0046210,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061911,0.0,0.0,0.0,0.0,0.0,0.0
GO:0010867,0.0,0.0,0.0,0.0,0.0,0.0
GO:0003938,0.0,0.0,0.0006664280090637862,0.0,0.0,0.00013328560181275726
GO:1990838,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015293,0.0014459900969436908,0.0,0.0,0.0,0.0,0.0002891980193887382
GO:0001927,0.0,0.0,0.0,0.0,0.0,0.0
GO:0044260,0.0,0.0,0.0006083552056293489,0.0010502333824593745,0.00048624086687062344,0.00042896589099186943
GO:0055105,0.0,0.0,0.0,0.0,0.0,0.0
GO:0110001,0.0,0.0,0.0006673540666046192,0.0005619517785515943,0.0012829881041722113,0.0005024587898656849
GO:0045159,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015483,0.0,1.641644570503401e-05,0.0002673296941598751,0.0,0.0,5.674922797298182e-05
GO:0007091,0.0,0.0,0.0,0.0,0.0,0.0
GO:0050416,0.0,0.0,0.0,0.0,0.0,0.0
GO:0060003,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033750,0.0,0.0,0.0,0.0,0.0,0.0
GO:0060304,0.0,0.0,0.0,0.0,0.0,0.0
GO:0001015,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005983,0.0,0.0,0.0,0.00010657414665542261,0.0,2.1314829331084522e-05
GO:0097030,0.0,0.0,0.0,0.0,0.0,0.0
GO:0060548,0.0,0.0,0.0,0.0,0.0,0.0
GO:0001080,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006887,0.0,0.0,0.0,0.0,0.0,0.0
GO:0072545,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006979,0.0,0.0,0.0,0.0,0.0,0.0
GO:0050378,0.0005047829415399163,0.0007142857142857142,0.0,0.0,0.000341286682108535,0.00031207106758683313
GO:0046889,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006631,0.0,0.0002760815434039535,0.0008100229447497784,0.0,0.0002502053499655287,0.0002672619676238521
GO:0015453,0.0,0.0,0.0,0.0,0.0,0.0
GO:0040001,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052934,0.0,0.0,0.0,0.0,0.0,0.0
GO:1902554,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043529,8.52706211849813e-19,0.0,0.0,0.0,0.0,1.7054124236996259e-19
GO:0034638,0.0,0.0,0.0,0.0,0.0,0.0
GO:1905184,0.0,0.0,0.0,0.0,0.0,0.0
GO:1990841,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006842,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008168,0.0,0.0,0.0,0.0,0.0,0.0
GO:0019354,0.0,0.0,7.791559379095098e-19,0.0,0.0,1.5583118758190196e-19
GO:0015925,0.0,0.0002864288914192168,0.0,0.0006258859475179336,7.944790493926269e-05,0.00019835254877528262
GO:0070822,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043933,0.0,0.0,0.0,0.0,0.0,0.0
GO:0110078,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030621,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052869,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015936,0.0004365617165976458,9.974332584299816e-05,0.0,0.0012361901730354062,0.00023750565209276428,0.00040200017351376283
GO:0042761,0.0,0.0,0.0,0.0,0.0,0.0
GO:0090613,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005880,0.0,0.0,0.0,0.0,0.0,0.0
